buffer size, load %, const latency ms, throughput 1/s
10, 10, 0, 77796
10, 10, 0, 77773
10, 10, 0, 77774
10, 10, 0, 77784
10, 10, 0, 77807
10, 10, 0, 77785
10, 10, 0, 77787
10, 10, 0, 77789
10, 10, 0, 77792
10, 10, 0, 77794
10, 10, 0, 80614
10, 10, 0, 80616
10, 10, 0, 80616
10, 10, 0, 80614
10, 10, 0, 80617
10, 10, 0, 80614
10, 10, 0, 80613
10, 10, 0, 80614
10, 10, 0, 80613
10, 10, 0, 80615
10, 10, 0, 87647
10, 10, 0, 87647
10, 10, 0, 87647
10, 10, 0, 87649
10, 10, 0, 87644
10, 10, 0, 87650
10, 10, 0, 87650
10, 10, 0, 87648
10, 10, 0, 87648
10, 10, 0, 87647
10, 10, 0, 87587
10, 10, 0, 87585
10, 10, 0, 87585
10, 10, 0, 87584
10, 10, 0, 87590
10, 10, 0, 87585
10, 10, 0, 87585
10, 10, 0, 87585
10, 10, 0, 87585
10, 10, 0, 87586
10, 50, 0, 140772
10, 50, 0, 140738
10, 50, 0, 140744
10, 50, 0, 140751
10, 50, 0, 140758
10, 50, 0, 140773
10, 50, 0, 140770
10, 50, 0, 140766
10, 50, 0, 140772
10, 50, 0, 140768
10, 50, 0, 165305
10, 50, 0, 165300
10, 50, 0, 165295
10, 50, 0, 165294
10, 50, 0, 165293
10, 50, 0, 165303
10, 50, 0, 165308
10, 50, 0, 165308
10, 50, 0, 165300
10, 50, 0, 165309
10, 50, 0, 161320
10, 50, 0, 161318
10, 50, 0, 161313
10, 50, 0, 161311
10, 50, 0, 161309
10, 50, 0, 161305
10, 50, 0, 161310
10, 50, 0, 161317
10, 50, 0, 161318
10, 50, 0, 161319
10, 50, 0, 160163
10, 50, 0, 160161
10, 50, 0, 160169
10, 50, 0, 160172
10, 50, 0, 160170
10, 50, 0, 160171
10, 50, 0, 160166
10, 50, 0, 160162
10, 50, 0, 160167
10, 50, 0, 160162
10, 80, 0, 131703
10, 80, 0, 131676
10, 80, 0, 131683
10, 80, 0, 131685
10, 80, 0, 131690
10, 80, 0, 131691
10, 80, 0, 131691
10, 80, 0, 131700
10, 80, 0, 131699
10, 80, 0, 131703
10, 80, 0, 150333
10, 80, 0, 150327
10, 80, 0, 150326
10, 80, 0, 150329
10, 80, 0, 150323
10, 80, 0, 150323
10, 80, 0, 150324
10, 80, 0, 150318
10, 80, 0, 150320
10, 80, 0, 150326
10, 80, 0, 151056
10, 80, 0, 151050
10, 80, 0, 151051
10, 80, 0, 151050
10, 80, 0, 151058
10, 80, 0, 151061
10, 80, 0, 151064
10, 80, 0, 151065
10, 80, 0, 151064
10, 80, 0, 151062
10, 80, 0, 151861
10, 80, 0, 151860
10, 80, 0, 151861
10, 80, 0, 151866
10, 80, 0, 151863
10, 80, 0, 151862
10, 80, 0, 151861
10, 80, 0, 151863
10, 80, 0, 151863
10, 80, 0, 151858
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 89
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 90
10, 10, 10, 89
10, 10, 10, 90
10, 10, 10, 90
10, 10, 10, 88
10, 10, 10, 88
10, 10, 10, 88
10, 50, 10, 89
10, 50, 10, 0
10, 50, 10, 90
10, 50, 10, 90
10, 50, 10, 0
10, 50, 10, 90
10, 50, 10, 0
10, 50, 10, 89
10, 50, 10, 90
10, 50, 10, 88
10, 50, 10, 88
10, 50, 10, 89
10, 50, 10, 90
10, 50, 10, 88
10, 50, 10, 90
10, 50, 10, 90
10, 50, 10, 90
10, 50, 10, 89
10, 50, 10, 90
10, 50, 10, 88
10, 50, 10, 89
10, 50, 10, 88
10, 50, 10, 89
10, 50, 10, 88
10, 50, 10, 89
10, 50, 10, 90
10, 50, 10, 89
10, 50, 10, 89
10, 50, 10, 89
10, 50, 10, 89
10, 50, 10, 89
10, 50, 10, 89
10, 50, 10, 89
10, 50, 10, 90
10, 50, 10, 90
10, 50, 10, 90
10, 50, 10, 89
10, 50, 10, 91
10, 50, 10, 90
10, 50, 10, 89
10, 80, 10, 89
10, 80, 10, 0
10, 80, 10, 89
10, 80, 10, 0
10, 80, 10, 0
10, 80, 10, 0
10, 80, 10, 0
10, 80, 10, 0
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 89
10, 80, 10, 90
10, 80, 10, 89
10, 80, 10, 90
10, 80, 10, 89
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 91
10, 80, 10, 91
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 91
10, 80, 10, 90
10, 80, 10, 92
10, 80, 10, 90
10, 80, 10, 91
10, 80, 10, 89
10, 80, 10, 89
10, 80, 10, 89
10, 80, 10, 91
10, 80, 10, 90
10, 80, 10, 89
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 90
10, 80, 10, 89
50, 10, 0, 129901
50, 10, 0, 129836
50, 10, 0, 129870
50, 10, 0, 129879
50, 10, 0, 129886
50, 10, 0, 129889
50, 10, 0, 129898
50, 10, 0, 129893
50, 10, 0, 129902
50, 10, 0, 129895
50, 10, 0, 169378
50, 10, 0, 169443
50, 10, 0, 169415
50, 10, 0, 169410
50, 10, 0, 169408
50, 10, 0, 169403
50, 10, 0, 169375
50, 10, 0, 169380
50, 10, 0, 169374
50, 10, 0, 169381
50, 10, 0, 177771
50, 10, 0, 177768
50, 10, 0, 177770
50, 10, 0, 177762
50, 10, 0, 177754
50, 10, 0, 177761
50, 10, 0, 177774
50, 10, 0, 177772
50, 10, 0, 177773
50, 10, 0, 177775
50, 10, 0, 173645
50, 10, 0, 173643
50, 10, 0, 173644
50, 10, 0, 173647
50, 10, 0, 173653
50, 10, 0, 173643
50, 10, 0, 173648
50, 10, 0, 173652
50, 10, 0, 173650
50, 10, 0, 173646
50, 50, 0, 202980
50, 50, 0, 202932
50, 50, 0, 202956
50, 50, 0, 202979
50, 50, 0, 202991
50, 50, 0, 202970
50, 50, 0, 202962
50, 50, 0, 202953
50, 50, 0, 202947
50, 50, 0, 202959
50, 50, 0, 268886
50, 50, 0, 268940
50, 50, 0, 268914
50, 50, 0, 268906
50, 50, 0, 268901
50, 50, 0, 268926
50, 50, 0, 268951
50, 50, 0, 268972
50, 50, 0, 268957
50, 50, 0, 268922
50, 50, 0, 285057
50, 50, 0, 285022
50, 50, 0, 285033
50, 50, 0, 285035
50, 50, 0, 285052
50, 50, 0, 285066
50, 50, 0, 285053
50, 50, 0, 285027
50, 50, 0, 285031
50, 50, 0, 285059
50, 50, 0, 286053
50, 50, 0, 286080
50, 50, 0, 286059
50, 50, 0, 286023
50, 50, 0, 285980
50, 50, 0, 285984
50, 50, 0, 286000
50, 50, 0, 286037
50, 50, 0, 286072
50, 50, 0, 286049
50, 80, 0, 191317
50, 80, 0, 191294
50, 80, 0, 191305
50, 80, 0, 191310
50, 80, 0, 191312
50, 80, 0, 191308
50, 80, 0, 191308
50, 80, 0, 191329
50, 80, 0, 191331
50, 80, 0, 191325
50, 80, 0, 257729
50, 80, 0, 257738
50, 80, 0, 257737
50, 80, 0, 257728
50, 80, 0, 257731
50, 80, 0, 257728
50, 80, 0, 257720
50, 80, 0, 257728
50, 80, 0, 257720
50, 80, 0, 257725
50, 80, 0, 261544
50, 80, 0, 261540
50, 80, 0, 261543
50, 80, 0, 261542
50, 80, 0, 261550
50, 80, 0, 261548
50, 80, 0, 261559
50, 80, 0, 261532
50, 80, 0, 261551
50, 80, 0, 261552
50, 80, 0, 260951
50, 80, 0, 260942
50, 80, 0, 260936
50, 80, 0, 260942
50, 80, 0, 260935
50, 80, 0, 260944
50, 80, 0, 260967
50, 80, 0, 260968
50, 80, 0, 260948
50, 80, 0, 260945
50, 10, 10, 90
50, 10, 10, 89
50, 10, 10, 0
50, 10, 10, 90
50, 10, 10, 0
50, 10, 10, 89
50, 10, 10, 89
50, 10, 10, 0
50, 10, 10, 0
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 91
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 89
50, 10, 10, 89
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 92
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 91
50, 10, 10, 90
50, 10, 10, 89
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 89
50, 10, 10, 89
50, 10, 10, 90
50, 10, 10, 89
50, 10, 10, 89
50, 10, 10, 90
50, 10, 10, 90
50, 10, 10, 89
50, 10, 10, 90
50, 10, 10, 91
50, 10, 10, 89
50, 10, 10, 89
50, 50, 10, 88
50, 50, 10, 89
50, 50, 10, 0
50, 50, 10, 90
50, 50, 10, 0
50, 50, 10, 0
50, 50, 10, 88
50, 50, 10, 88
50, 50, 10, 88
50, 50, 10, 90
50, 50, 10, 90
50, 50, 10, 88
50, 50, 10, 90
50, 50, 10, 89
50, 50, 10, 90
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 90
50, 50, 10, 90
50, 50, 10, 90
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 89
50, 50, 10, 88
50, 50, 10, 90
50, 50, 10, 90
50, 50, 10, 90
50, 50, 10, 89
50, 50, 10, 88
50, 50, 10, 88
50, 50, 10, 90
50, 80, 10, 90
50, 80, 10, 0
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 88
50, 80, 10, 88
50, 80, 10, 88
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 89
50, 80, 10, 90
50, 80, 10, 89
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 89
50, 80, 10, 88
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 89
50, 80, 10, 90
50, 80, 10, 90
50, 80, 10, 89
50, 80, 10, 90
50, 80, 10, 89
50, 80, 10, 89
20, 10, 0, 124104
20, 10, 0, 124087
20, 10, 0, 124098
20, 10, 0, 124097
20, 10, 0, 124100
20, 10, 0, 124100
20, 10, 0, 124100
20, 10, 0, 124101
20, 10, 0, 124104
20, 10, 0, 124106
20, 10, 0, 131233
20, 10, 0, 131237
20, 10, 0, 131238
20, 10, 0, 131237
20, 10, 0, 131238
20, 10, 0, 131238
20, 10, 0, 131237
20, 10, 0, 131230
20, 10, 0, 131231
20, 10, 0, 131230
20, 10, 0, 131313
20, 10, 0, 131312
20, 10, 0, 131316
20, 10, 0, 131313
20, 10, 0, 131313
20, 10, 0, 131312
20, 10, 0, 131312
20, 10, 0, 131316
20, 10, 0, 131319
20, 10, 0, 131320
20, 10, 0, 125334
20, 10, 0, 125331
20, 10, 0, 125334
20, 10, 0, 125335
20, 10, 0, 125338
20, 10, 0, 125332
20, 10, 0, 125328
20, 10, 0, 125330
20, 10, 0, 125328
20, 10, 0, 125327
20, 50, 0, 170587
20, 50, 0, 170581
20, 50, 0, 170577
20, 50, 0, 170576
20, 50, 0, 170581
20, 50, 0, 170589
20, 50, 0, 170582
20, 50, 0, 170590
20, 50, 0, 170589
20, 50, 0, 170578
20, 50, 0, 216137
20, 50, 0, 216135
20, 50, 0, 216132
20, 50, 0, 216138
20, 50, 0, 216125
20, 50, 0, 216116
20, 50, 0, 216126
20, 50, 0, 216118
20, 50, 0, 216124
20, 50, 0, 216136
20, 50, 0, 218481
20, 50, 0, 218483
20, 50, 0, 218489
20, 50, 0, 218487
20, 50, 0, 218490
20, 50, 0, 218491
20, 50, 0, 218491
20, 50, 0, 218499
20, 50, 0, 218490
20, 50, 0, 218483
20, 50, 0, 218150
20, 50, 0, 218151
20, 50, 0, 218164
20, 50, 0, 218168
20, 50, 0, 218180
20, 50, 0, 218176
20, 50, 0, 218181
20, 50, 0, 218164
20, 50, 0, 218163
20, 50, 0, 218156
20, 80, 0, 170294
20, 80, 0, 170266
20, 80, 0, 170285
20, 80, 0, 170287
20, 80, 0, 170284
20, 80, 0, 170287
20, 80, 0, 170302
20, 80, 0, 170292
20, 80, 0, 170292
20, 80, 0, 170294
20, 80, 0, 190091
20, 80, 0, 190095
20, 80, 0, 190082
20, 80, 0, 190085
20, 80, 0, 190094
20, 80, 0, 190093
20, 80, 0, 190095
20, 80, 0, 190095
20, 80, 0, 190092
20, 80, 0, 190086
20, 80, 0, 193943
20, 80, 0, 193938
20, 80, 0, 193934
20, 80, 0, 193932
20, 80, 0, 193926
20, 80, 0, 193929
20, 80, 0, 193936
20, 80, 0, 193949
20, 80, 0, 193953
20, 80, 0, 193949
20, 80, 0, 191654
20, 80, 0, 191649
20, 80, 0, 191653
20, 80, 0, 191661
20, 80, 0, 191660
20, 80, 0, 191666
20, 80, 0, 191651
20, 80, 0, 191641
20, 80, 0, 191641
20, 80, 0, 191648
20, 10, 10, 89
20, 10, 10, 88
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 88
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 90
20, 10, 10, 88
20, 10, 10, 89
20, 10, 10, 90
20, 10, 10, 89
20, 10, 10, 90
20, 10, 10, 90
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 88
20, 10, 10, 89
20, 10, 10, 88
20, 10, 10, 88
20, 10, 10, 88
20, 10, 10, 90
20, 10, 10, 90
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 88
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 89
20, 10, 10, 90
20, 10, 10, 89
20, 50, 10, 89
20, 50, 10, 0
20, 50, 10, 89
20, 50, 10, 0
20, 50, 10, 0
20, 50, 10, 0
20, 50, 10, 0
20, 50, 10, 0
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 89
20, 50, 10, 89
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 91
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 90
20, 50, 10, 88
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 90
20, 50, 10, 89
20, 50, 10, 89
20, 50, 10, 90
20, 80, 10, 89
20, 80, 10, 0
20, 80, 10, 0
20, 80, 10, 89
20, 80, 10, 0
20, 80, 10, 0
20, 80, 10, 89
20, 80, 10, 0
20, 80, 10, 90
20, 80, 10, 89
20, 80, 10, 88
20, 80, 10, 90
20, 80, 10, 90
20, 80, 10, 89
20, 80, 10, 89
20, 80, 10, 90
20, 80, 10, 89
20, 80, 10, 89
20, 80, 10, 90
20, 80, 10, 89
20, 80, 10, 88
20, 80, 10, 90
20, 80, 10, 90
20, 80, 10, 89
20, 80, 10, 90
20, 80, 10, 90
20, 80, 10, 90
20, 80, 10, 90
20, 80, 10, 89
20, 80, 10, 89
20, 80, 10, 90
20, 80, 10, 88
20, 80, 10, 89
20, 80, 10, 89
20, 80, 10, 88
20, 80, 10, 88
20, 80, 10, 89
20, 80, 10, 90
